feature,scores,concedes
actiontype_pass_a0,13.092573165893555,11.466400146484375
actiontype_cross_a0,0.0,0.0
actiontype_throw_in_a0,19.487062454223633,5.723623275756836
actiontype_freekick_crossed_a0,0.0,0.0
actiontype_freekick_short_a0,0.0,0.0
actiontype_corner_crossed_a0,0.0,0.0
actiontype_corner_short_a0,0.0,0.0
actiontype_take_on_a0,22.850217819213867,0.0
actiontype_foul_a0,13.477043151855469,38.73204040527344
actiontype_tackle_a0,14.865131378173828,0.0
actiontype_interception_a0,0.0,13.823596954345703
actiontype_shot_a0,31.932783126831055,0.0
actiontype_shot_penalty_a0,0.0,0.0
actiontype_shot_freekick_a0,0.0,0.0
actiontype_keeper_save_a0,0.0,14.71240234375
actiontype_keeper_claim_a0,0.0,0.0
actiontype_keeper_punch_a0,0.0,0.0
actiontype_keeper_pick_up_a0,0.0,0.0
actiontype_clearance_a0,9.781034469604492,23.490489959716797
actiontype_bad_touch_a0,0.0,0.0
actiontype_non_action_a0,0.0,0.0
actiontype_dribble_a0,31.48651123046875,0.0
actiontype_goalkick_a0,0.0,0.0
actiontype_pass_a1,0.0,9.520177841186523
actiontype_cross_a1,0.0,0.0
actiontype_throw_in_a1,14.396466255187988,0.0
actiontype_freekick_crossed_a1,0.0,0.0
actiontype_freekick_short_a1,0.0,0.0
actiontype_corner_crossed_a1,0.0,4.988434314727783
actiontype_corner_short_a1,0.0,0.0
actiontype_take_on_a1,14.835699081420898,0.0
actiontype_foul_a1,0.0,0.0
actiontype_tackle_a1,0.0,0.0
actiontype_interception_a1,0.0,0.0
actiontype_shot_a1,0.0,37.71636199951172
actiontype_shot_penalty_a1,0.0,0.0
actiontype_shot_freekick_a1,0.0,0.0
actiontype_keeper_save_a1,0.0,0.0
actiontype_keeper_claim_a1,0.0,0.0
actiontype_keeper_punch_a1,0.0,0.0
actiontype_keeper_pick_up_a1,0.0,0.0
actiontype_clearance_a1,0.0,0.0
actiontype_bad_touch_a1,0.0,0.0
actiontype_non_action_a1,0.0,0.0
actiontype_dribble_a1,13.554813385009766,0.0
actiontype_goalkick_a1,0.0,0.0
actiontype_pass_a2,0.0,0.0
actiontype_cross_a2,0.0,0.0
actiontype_throw_in_a2,0.0,0.0
actiontype_freekick_crossed_a2,0.0,0.0
actiontype_freekick_short_a2,0.0,0.0
actiontype_corner_crossed_a2,0.0,0.0
actiontype_corner_short_a2,0.0,0.0
actiontype_take_on_a2,15.288849830627441,0.0
actiontype_foul_a2,0.0,0.0
actiontype_tackle_a2,15.002214431762695,0.0
