name,seed_20160817,seed_7,seed_1234,mean,spread,rank_move
Gareth Bale,0.8446771231386679,0.8298564143929054,0.8569341650921167,0.84382256754123,0.027077750699211367,0
Lionel Messi,0.8073733892737599,0.81064710318436,0.7886661948379386,0.8022288957653528,0.021980908346421302,0
James Rodríguez,0.6134880520918642,0.580545333695691,0.583037917280215,0.5923571010225901,0.03294271839617324,0
Karim Benzema,0.5712305106431308,0.5470757125563783,0.5601664941275211,0.5594909057756767,0.02415479808675247,0
Imanol Agirretxe,0.512083022067321,0.5294454933444884,0.5289929212370382,0.5235071455496159,0.01736247127716739,1
Luis Suárez,0.5239926896349534,0.5316534352172962,0.5135784212700849,0.5230748487074449,0.018075013947211338,1
Antoine Griezmann,0.45002279718232535,0.45511854369640437,0.4485933260285932,0.45124488896910764,0.006525217667811167,1
Neymar,0.4429021593388844,0.44142443731456404,0.45623310465729283,0.4468532337702471,0.014808667342728787,1
Nolito,0.40818216613327213,0.4007614075899463,0.3998242565160974,0.402922610079772,0.008357909617174752,0
Éver Banega,0.3826746299654464,0.392241238899476,0.38382940709639973,0.38624842532044074,0.009566608934029608,0
Lucas Pérez,0.34843233771934023,0.3673866540421825,0.35741102545551007,0.3577433390723443,0.01895431632284228,0
Ángel Correa,0.3261170062963208,0.3627721295970599,0.3487242037343249,0.34587111320923514,0.03665512330073911,4
Lucas Vázquez,0.3368260397560035,0.3482007987001293,0.35088485011577053,0.3453038961906345,0.014058810359767027,1
Jozabed Sánchez,0.3398060316558724,0.34226643478751084,0.3339373163027663,0.3386699275820499,0.008329118484744547,3
Andrés Iniesta,0.3343336324105801,0.3408295907819775,0.3334636158214574,0.33620894633800497,0.007365974960520105,2
Carlos Castro,0.33431763659976554,0.3444908609179894,0.32923563705202097,0.3360147115232586,0.015255223865968448,2
Yevgen Konoplyanka,0.3093173179674135,0.32743582277905015,0.32147365156886093,0.3194089307717749,0.018118504811636627,2
Toni Kroos,0.31380870511979,0.3146354191958328,0.3200646735889574,0.3161695993015267,0.006255968469167428,2
Luka Modrić,0.3124707349251981,0.31821715881252544,0.3081533593207591,0.31294708435282753,0.010063799491766334,1
José Luis Morales,0.30254564421712143,0.303777153768993,0.29243726295899375,0.2995866869817027,0.011339890809999253,3
Dani Parejo,0.2951356000393948,0.28990069377420297,0.2980923823662213,0.29437622539327307,0.008191688592018354,3
Iñaki Williams,0.29958603741166456,0.2902938266497814,0.28950223180311074,0.29312736528818556,0.01008380560855382,3
Marcelo,0.28096814449941565,0.2881909756760861,0.2937268055846191,0.2876286419200403,0.01275866108520346,2
Giuseppe Rossi,0.26434852597830555,0.29024408425768816,0.2940078495001184,0.2828668199120374,0.02965932352181283,4
Ivan Rakitić,0.26466820588267903,0.2696908139505983,0.2789151217976302,0.27109138054363585,0.014246915914951197,2
Javier Mascherano,0.2603512682011487,0.2753599641141738,0.2616167999228858,0.26577601074606944,0.015008695913025116,2
Gabi,0.25944983965381374,0.25863607669901245,0.2624508179562642,0.26017891143636346,0.0038147412572517303,4
Rubén Rochina,0.2615983545694526,0.25967282921083734,0.2520693462204754,0.25778017666692177,0.009529008348977186,3
Dani Alves,0.2495383214355767,0.24616454667028567,0.2536600116890807,0.24978762659831436,0.007495465018795028,6
Cédric Bakambu,0.2504875768184548,0.2524204840409662,0.24470900467524143,0.2492056885115541,0.007711479365724749,3
Cristiano Ronaldo,0.24554114535506644,0.2602451695439416,0.2413913946268007,0.24905923650860293,0.01885377491714091,8
Chory Castro,0.23853921456568222,0.2609859157270054,0.2446075429852347,0.2480442244259741,0.02244670116132319,9
Tana,0.2461371500906341,0.24762811308029148,0.24929459739965645,0.24768662019019402,0.003157447309022343,3
Beñat Etxebarria,0.25036608011442957,0.24557213100359437,0.2415709750753475,0.24583639539779048,0.008795105039082068,5
Ander Capa,0.2463960994496268,0.2418392783256804,0.2396621341705549,0.24263250398195402,0.006733965279071885,7
Burgui,0.24048964734292716,0.23939492606297655,0.24703205950987783,0.24230554430526052,0.007637133446901284,11
Markel Susaeta,0.23741828429139858,0.2450686928786373,0.24046535211571057,0.2409841097619155,0.007650408587238727,2
Fernando Torres,0.22698332776896596,0.25835774493586433,0.23701664554641155,0.24078590608374728,0.03137441716689837,17
Jonathan Viera,0.23590216054694843,0.23977989388013551,0.24275165565131138,0.2394779033594651,0.006849495104362946,7
Juanpi,0.23559882234828133,0.242450511763812,0.2329890496478287,0.23701279458664068,0.009461462115983282,6
Fede Cartabia,0.23335425385237238,0.23248981000565191,0.23733908966820452,0.23439438450874295,0.004849279662552608,6
Mikel Oyarzabal,0.23495823967631657,0.2241758703835688,0.2411752009853702,0.2334364370150852,0.01699933060180142,16
Bruno Soriano,0.23218862185187344,0.23206502266967813,0.23068159435979121,0.23164507962711425,0.0015070274920822302,5
Danilo,0.23194947561491877,0.24044610752211387,0.22016051478629456,0.23085203264110907,0.020285592735819313,15
Fran Rico,0.22498965718159725,0.23565741409433563,0.23129353243193712,0.23064686790262331,0.010667756912738385,8
Filipe Luis,0.2295560235214533,0.23899274721762137,0.22335948231109773,0.23063608435005745,0.015633264906523642,6
Tiago,0.2258771807267335,0.24479944761201514,0.22089529118212847,0.23052397317362572,0.023904156429886664,15
Sergio Busquets,0.22871787735125673,0.22923755581863786,0.22612710939127675,0.22802751418705713,0.0031104464273611077,4
Jony,0.2250741863671499,0.2223513158159354,0.23522626987226508,0.22755059068511682,0.012874954056329685,13
Miku Fedor,0.22390031641026223,0.22300949271370024,0.23434293771019796,0.22708424894472015,0.011333444996497716,11
Michael Krohn-Dehli,0.2219347216961865,0.23507684430506554,0.22295473627076434,0.22665543409067213,0.013142122608879037,12
Adalberto Peñaranda,0.2226249430578799,0.22942335136087516,0.22413738944610737,0.22539522795495415,0.0067984083029952735,8
Koke,0.22275485519746993,0.22917505872649288,0.22281515231553073,0.2249150220798312,0.00642020352902295,5
Daniel Carvajal,0.22698927520465476,0.22610469012618276,0.22017753955328462,0.22442383496137405,0.006811735651370138,7
Pablo Sarabia,0.22785163023262156,0.22123368939122895,0.2185293235128573,0.22253821437890262,0.00932230671976425,11
Yannick Carrasco,0.21413558633241822,0.21964679317518135,0.21661700444157472,0.21679979464972476,0.005511206842763128,2
Moi Gómez,0.21292608475273783,0.2160751251394093,0.21955253443008083,0.21618458144074268,0.006626449677342994,4
Marcelo Díaz,0.20985645620412058,0.2260098261912114,0.21022799736979148,0.2153647599217078,0.016153369987090826,9
Sergio Escudero,0.2269217978212971,0.20022179467054177,0.21531162205607554,0.21415173818263813,0.026700003150755325,15
Bebé,0.22021134678297133,0.20725799688861118,0.20879281125061427,0.21208738497406557,0.012953349894360144,5
José Antonio Reyes,0.22362933107221158,0.20597521958161114,0.20411246636268235,0.21123900567216836,0.019516864709529236,10
Isco,0.2028586841723826,0.2081948088333189,0.2205896116245224,0.21054770154340796,0.017730927452139805,10
Zé Castro,0.19677062282637156,0.20238622007350449,0.2106973646425078,0.2032847358474613,0.013926741816136234,6
Théo Bongonda Mbul'Ofeko Batombo,0.2023971064486024,0.19772522130958609,0.20950811585614476,0.2032101478714444,0.011782894546558675,4
Pablo Hernández,0.19888033835769978,0.20482344769024297,0.1954139260909033,0.199705904046282,0.009409521599339665,5
Isma López,0.20316520193092624,0.18942995490266,0.20208646076550313,0.19822720586636314,0.013735247028266229,8
Roberto Trashorras,0.1931005980003006,0.19076699166201275,0.20271573434196843,0.19552777466809393,0.011948742679955687,3
João Cancelo,0.18849549193125584,0.19152005370473915,0.18582006214640348,0.1886118692607995,0.005699991558335671,5
Rubén Pardo,0.1842454934003562,0.19076272875775213,0.18931251584896017,0.18810691266902282,0.0065172353573959285,5
Asier Illarramendi,0.19147910229735018,0.18266805206347322,0.19000069551792803,0.18804928329291715,0.00881105023387696,5
Emiliano Velázquez,0.18232511091761192,0.19983517815913007,0.17577733389474776,0.18597920765716325,0.024057844264382316,20
Kévin Gameiro,0.18137386384663967,0.18098895588941608,0.19083736124901765,0.1844000603283578,0.009848405359601575,9
Dani Ceballos,0.18517043775978226,0.18104254436804118,0.18402238804109702,0.1834117900563068,0.004127893391741078,5
Takashi Inui,0.18481400442621823,0.17990416976903686,0.18518203375228862,0.18330006931584789,0.0052778639832517515,10
Mateo Kovačić,0.17543210165115866,0.18085418604330275,0.19334583280349713,0.18321070683265284,0.017913731152338463,18
David Juncà,0.19445746627060093,0.18009199365375367,0.17472064408418517,0.18309003466951326,0.01973682218641576,21
Ignacio Camacho,0.17956501083092885,0.1840805757555359,0.17988603632950315,0.18117720763865597,0.004515564924607057,9
Isaac Success,0.1771107299163027,0.182737369844525,0.18266406276334973,0.1808373875080591,0.005626639928222293,11
Damián Suárez,0.179792774101853,0.17925466031284415,0.1827834096823984,0.18061028136569848,0.003528749369554246,9
Augusto Fernández,0.17976952327803258,0.18175054148556727,0.17989480768158733,0.18047162414839577,0.001981018207534685,4
Keko,0.18728086699952193,0.17261234876468579,0.1791859993136684,0.17969307169262538,0.014668518234836142,20
Sabin Merino,0.1747494056709993,0.18818827156928394,0.1757252239050979,0.17955430038179374,0.013438865898284635,17
Víctor Casadesús,0.17982338485604446,0.17445265640404092,0.18396434111392487,0.17941346079133677,0.00951168470988395,13
Juan Manuel Vargas,0.17467860490785964,0.1820413263775312,0.1741227289696514,0.17694755341834742,0.007918597407879813,15
Alen Halilović,0.17708106239996868,0.17639460173662336,0.17719228977042797,0.17688931796900667,0.0007976880338046166,4
André Gomes,0.1790712325160503,0.16921802678945405,0.1822566374543427,0.17684863225328237,0.01303861066488865,20
Rubén Castro,0.17382774981560337,0.18046447495795614,0.17509656197486406,0.17646292891614115,0.0066367251423527784,11
Marco Asensio Willemsen,0.17473309798632936,0.17315070030399618,0.18083715660748612,0.17624031829927056,0.007686456303489936,11
Pedro Bigas,0.17109787819815403,0.18059190145127063,0.17328125316085113,0.17499034427009194,0.009494023253116601,15
Youssef El-Arabi,0.1807253042113907,0.16715118408882848,0.1760894438515726,0.17465531071726392,0.013574120122562233,23
Aymeric Laporte,0.1793869476082005,0.17817786036435418,0.16433699533203333,0.17396726776819602,0.015049952276167178,17
Willian José,0.17419640849850263,0.1742658535996247,0.17076111649553763,0.17307445953122166,0.00350473710408708,5
Fernando Tissone,0.17252276898604746,0.17965891419935892,0.1669841487335326,0.17305527730631298,0.012674765465826326,12
Gerard Piqué,0.17217424288815872,0.17077937648406727,0.17287074907440025,0.17194145614887543,0.002091372590332985,2
Mariano,0.17540079160380834,0.17046440084483877,0.16569538169097453,0.17052019137987387,0.009705409912833807,11
Steven Nzonzi,0.16560375408414316,0.17153427512247635,0.17388388978342048,0.17034063966334667,0.008280135699277325,7
Vitolo,0.16011356798076057,0.16999367620135186,0.17240672720789674,0.16750465713000307,0.012293159227136169,7
Sergio Ramos,0.15379155296888436,0.1695551474508725,0.16963004396210046,0.16432558146061912,0.015838490993216103,10
Álex Bergantiños,0.1601518494900617,0.161497569961656,0.1664430432440327,0.16269748756525013,0.006291193753970997,6
Hernán Pérez,0.1604420346991057,0.171698512923448,0.1528840883542264,0.1616748786589267,0.01881442456922161,21
Joseba Zaldúa,0.16818623307136524,0.15239705556427668,0.1634194177557028,0.16133423546378156,0.015789177507088553,17
Verza,0.15169247916638706,0.1690202130394694,0.15967516777012244,0.16012928665865964,0.01732773387308234,10
Roberto Rosales,0.1570459431139947,0.16436163448183289,0.15682421814253367,0.15941059857945375,0.007537416339299219,9
Sergi Enrich,0.1526309349649573,0.1573886787580496,0.16312004967357138,0.15771322113219277,0.010489114708614078,4
Manu Trigueros,0.15176789657976572,0.15843327133390653,0.16020243300239306,0.1568012003053551,0.008434536422627342,3
Iñigo Lekue,0.15573942091505305,0.15973100929372336,0.15376410739467533,0.1564115125344839,0.005966901899048027,8
Denis Suárez,0.15033618605680607,0.16387305938122454,0.1527270964270154,0.1556454472883487,0.01353687332441847,13
Álex Menéndez,0.15117480418171572,0.15270560104768516,0.1611345684485147,0.15500499122597186,0.009959764266798982,9
Aritz Aduriz,0.1515801852090235,0.15029409489800077,0.16095033826605706,0.1542748727910271,0.01065624336805629,15
De Marcos,0.15766170091259585,0.15074502875221849,0.1526516948141653,0.1536861414929932,0.006916672160377363,15
Joan Verdú,0.1516896397817499,0.14976584395516154,0.15706293167677893,0.15283947180456345,0.007297087721617385,11
Iker Muniain,0.15233145825716793,0.1533174512735706,0.14917456066448997,0.1516078233984095,0.0041428906090806294,14
Javi Guerra,0.14173849467617844,0.148933237377404,0.16348588185092863,0.1513858713015037,0.021747387174750193,28
Pablo Hernández,0.15082743213727792,0.14480414507128173,0.15812144432529643,0.15125100717795203,0.013317299254014703,19
Luis Alberto,0.15385551324338767,0.15059570017560925,0.1492176252131544,0.1512229462107171,0.004637888030233267,16
Gorka Iraizoz,0.14126189574449186,0.15618750425385386,0.15330395559947382,0.15025111853260653,0.014925608509362004,22
Bruma,0.14641802128544446,0.15518774947638564,0.1480707048709449,0.14989215854425833,0.008769728190941184,14
Jonny Castro,0.14588989069029215,0.15168013103223824,0.15031944050490534,0.14929648740914525,0.005790240341946085,8
Asier Riesgo,0.14409157148303176,0.15320593749752903,0.150367578174768,0.14922169571844293,0.009114366014497277,13
Pepe,0.1462936095336147,0.13957931570029472,0.16012034204815,0.14866442242735314,0.02054102634785529,27
Antonio Luna,0.14828223668042875,0.14530351450369702,0.15055763659843854,0.14804779592752146,0.00525412209474152,10
Petros,0.14903323106601937,0.1466521279631887,0.14491576400418546,0.14686704101113116,0.004117467061833913,8
Mateo Musacchio,0.1459772182809034,0.1503575280876109,0.14178465830227163,0.14603980155692864,0.008572869785339277,8
